,Ward/Precinct,MICHAEL F FLAHERTY,ALEJANDRA NICOLE STGUILLEN,MICHELLE WU,JULIA MEJIA,ERIN J MURPHY,ALTHEA GARRISON,DAVID HALBERT,ANNISSA ESSAIBI GEORGE,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters
133,1414,68,30,78,73,15,53,38,69,0,424,196,155,1253
134,1501,52,32,64,69,8,34,16,60,5,340,176,129,1554
135,1502,32,16,43,36,11,29,9,42,0,218,98,79,1054
136,1503,32,12,28,26,6,19,9,25,0,157,55,53,743
137,1504,87,44,80,85,32,67,32,84,0,511,253,191,1978
138,1505,56,29,69,77,19,55,33,65,1,404,192,149,1348
139,1506,95,27,78,43,51,29,26,74,1,424,184,152,790
140,1507,33,36,62,58,18,33,21,56,0,317,171,122,1115
141,1508,85,28,72,56,31,42,17,56,1,388,128,129,993
142,1509,96,47,96,64,42,45,45,64,3,502,110,153,1117
143,1601,63,41,85,60,58,40,30,88,3,468,148,154,1162
144,1602,98,37,72,40,87,51,18,80,2,485,159,161,914
145,1603,99,62,123,85,59,43,46,124,0,641,219,215,1479
146,1604,97,58,112,63,97,47,39,113,1,627,173,200,1328
147,1605,130,47,132,57,167,63,38,135,0,769,303,268,1487
148,1606,130,68,159,111,121,62,55,153,3,862,314,294,1931
149,1607,212,39,137,45,252,85,26,211,5,1012,388,350,1246
150,1608,221,76,187,75,277,67,48,232,6,1189,475,416,1421
151,1609,305,34,114,31,340,121,17,242,4,1208,656,466,1543
152,1610,161,30,84,22,174,62,22,147,1,703,325,257,1338
153,1611,229,65,162,73,213,113,45,221,0,1121,443,391,1475
154,1612,404,29,115,25,386,161,24,294,13,1451,685,534,1195
155,1701,53,26,66,52,15,50,21,57,2,342,110,113,1252
156,1702,46,32,62,48,19,41,23,68,0,339,97,109,849
157,1703,139,87,195,144,56,96,68,184,1,970,290,315,1832
158,1704,191,60,203,105,80,122,82,181,4,1028,380,352,1909
159,1705,32,20,48,38,8,28,16,50,1,241,147,97,909
160,1706,72,73,127,110,31,54,49,120,3,639,249,222,1315
161,1707,39,29,50,57,4,35,23,34,3,274,102,94,770
162,1708,72,40,86,90,25,56,28,81,0,478,130,152,1288
163,1709,89,93,161,94,56,50,73,151,0,767,257,256,957
164,1710,79,39,85,77,16,61,23,87,6,473,199,168,1702
165,1711,43,29,60,36,14,24,40,55,0,301,107,102,685
166,1712,77,40,88,51,39,41,22,99,4,461,139,150,958
167,1713,169,90,171,100,118,95,47,188,3,981,215,299,1280
168,1714,149,75,199,110,80,77,52,171,0,913,247,290,1331
169,1801,194,123,214,163,49,112,77,232,5,1169,215,346,2220
170,1802,103,57,120,93,38,61,34,114,1,621,167,197,1524
171,1803,138,73,184,123,43,118,58,152,1,890,166,264,1717
172,1804,138,73,129,120,23,64,37,125,3,712,324,259,1751
173,1805,173,71,172,129,38,89,39,118,1,830,426,314,1759
174,1806,223,82,248,166,55,145,62,165,4,1150,266,354,1979
175,1807,129,112,185,101,49,57,45,149,0,827,281,277,1524
176,1808,194,95,214,137,51,124,54,174,0,1043,497,385,2705
177,1809,138,150,257,113,65,63,88,157,0,1031,353,346,1529
178,1810,230,270,476,209,125,112,155,310,0,1887,505,598,2160
179,1811,85,92,161,110,40,63,49,115,1,716,228,236,1452
180,1812,164,95,216,103,97,69,48,167,2,961,323,321,1594
181,1813,81,44,89,67,32,38,34,76,2,463,233,174,956
182,1814,69,48,81,59,28,37,15,51,0,388,232,155,1102
183,1815,124,65,143,99,35,56,46,137,4,709,359,267,1534
184,1816,409,90,300,118,336,175,66,277,4,1775,813,647,1643
185,1817,193,68,174,113,130,79,28,151,4,940,512,363,1621
186,1818,221,94,190,121,108,88,52,159,0,1033,587,405,2015
187,1819,260,133,292,137,130,97,55,226,5,1335,541,469,2700
188,1820,402,85,260,109,255,140,42,265,1,1559,833,598,2123
189,1821,159,58,168,125,37,102,43,154,4,850,262,278,2034
190,1822,240,116,284,137,175,100,66,239,3,1360,524,471,1733
191,1823,85,74,117,110,32,52,47,63,4,584,316,225,1494
192,1901,73,258,306,256,27,34,130,198,5,1287,185,368,1398
193,1902,170,198,294,143,77,78,88,219,4,1271,337,402,1524
194,1903,72,175,222,168,21,29,93,143,0,923,129,263,1122
195,1904,109,319,380,283,38,57,164,237,2,1589,215,451,1614
196,1905,112,256,315,200,44,51,155,197,11,1341,215,389,1395
197,1906,144,315,423,262,49,88,161,261,2,1705,227,483,1752
198,1907,115,283,343,223,41,44,132,238,0,1419,209,407,1823
199,1908,61,187,218,154,30,32,96,143,1,922,130,263,870
200,1909,60,138,186,101,21,28,84,118,0,736,100,209,816
201,1910,140,226,350,237,74,64,129,232,0,1452,352,451,1710
202,1911,91,133,186,167,30,44,90,125,1,867,185,263,1652
203,1912,145,165,252,147,45,58,50,199,0,1061,247,327,1190
204,1913,91,107,192,108,40,39,62,122,0,761,203,241,1147
205,2001,155,184,285,159,99,94,106,199,3,1284,332,404,1557
206,2002,169,205,338,161,118,76,130,233,3,1433,271,426,1651
207,2003,159,72,143,65,85,95,30,143,6,798,250,262,1732
208,2004,121,285,395,214,81,51,167,241,1,1556,248,451,1239
209,2005,237,91,187,64,195,103,51,187,3,1118,418,384,1614
210,2006,291,173,320,70,196,131,90,299,1,1571,429,500,1685
211,2007,149,132,206,75,100,68,58,171,7,966,258,306,1038
212,2008,149,138,259,114,96,69,80,209,1,1115,209,331,1225
213,2009,180,141,273,116,106,79,95,196,4,1190,326,379,1344
214,2010,289,136,253,67,223,135,62,274,2,1441,403,461,1943
215,2011,120,96,156,69,99,83,49,154,5,831,221,263,832
216,2012,162,140,185,56,134,82,68,176,7,1010,290,325,1063
217,2013,134,111,142,41,106,73,41,141,2,791,221,253,1006
218,2014,164,87,180,54,158,79,65,197,4,988,288,319,970
219,2015,205,77,178,71,128,95,44,152,2,952,348,325,1855
220,2016,233,119,204,47,178,136,46,211,1,1175,409,396,1894
221,2017,236,138,250,68,218,121,68,256,10,1365,383,437,2004
222,2018,100,105,134,52,97,55,49,150,1,743,209,238,1003
223,2019,152,85,145,40,122,88,32,152,1,817,259,269,1006
224,2020,205,122,207,69,166,84,75,210,9,1147,309,364,1835
225,2101,79,70,134,64,43,47,44,98,0,579,137,179,1832
226,2102,12,15,22,12,4,7,7,15,0,94,14,27,715
227,2103,29,53,75,43,12,18,23,52,2,307,33,85,1360
228,2104,35,75,107,75,13,27,23,68,1,424,60,121,1064
229,2105,64,79,132,73,27,34,46,95,2,552,104,164,1678
230,2106,103,67,167,52,55,52,27,122,0,645,187,208,1085
231,2107,70,64,135,81,32,36,46,96,1,561,135,174,1593
232,2108,54,103,160,102,19,48,60,105,3,654,114,192,1800
233,2109,52,115,160,105,33,35,75,114,1,690,86,194,1843
234,2110,114,97,169,93,51,54,62,120,6,766,134,225,1510
235,2111,77,95,161,104,46,54,57,114,2,710,202,228,1757
236,2112,164,153,219,94,40,53,65,172,0,960,192,288,1679
237,2113,270,256,355,164,60,92,120,230,2,1549,551,525,2075
238,2114,48,51,89,42,23,38,25,73,3,392,44,109,1033
239,2115,58,80,142,75,31,36,46,97,1,566,98,166,1296
240,2116,111,108,171,99,43,63,73,129,1,798,190,247,1588
241,2201,163,133,257,136,92,62,87,187,11,1128,372,375,2013
242,2202,185,137,261,137,112,82,80,206,4,1204,424,407,2583
243,2203,184,113,265,110,98,91,65,221,1,1148,500,412,1970
244,2204,163,124,231,80,105,66,64,172,2,1007,393,350,1313
245,2205,80,67,124,64,41,30,35,74,0,515,205,180,1243
246,2206,92,55,127,59,46,42,25,90,4,540,188,182,1172
247,2207,185,130,242,87,95,75,57,171,3,1045,411,364,1641
248,2208,134,64,145,43,71,54,41,122,0,674,294,242,1247
249,2209,111,86,161,62,56,45,45,177,2,745,367,278,1362
250,2210,146,125,245,98,74,82,50,207,3,1030,346,344,1583
251,2211,152,69,157,64,74,69,28,128,2,743,253,249,1068
252,2212,155,86,155,69,85,71,38,135,0,794,334,282,1257
253,2213,114,73,138,54,56,47,38,102,0,622,266,222,948
