,NEIGHBORHOOD,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 55+,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 55+,F 85+,Total 55+,Total 18-29
16,Fenway,32157,0.465,0.116,0.049,0.034,0.053,0.062,0.04,0.019,0.013,0.013,0.054,0.009,0.01,0.006,0.004,0.002,0.004,0.535,0.003,0.005,0.003,0.001,0.143,0.134,0.197,0.21
17,Brighton,48557,0.485,0.012,0.014,0.013,0.045,0.13,0.061,0.042,0.018,0.017,0.097,0.02,0.012,0.011,0.006,0.008,0.008,0.515,0.021,0.012,0.008,0.009,0.046,0.016,0.143,0.064
18,West Roxbury,33439,0.473,0.005,0.005,0.003,0.01,0.032,0.039,0.036,0.024,0.03,0.13,0.041,0.027,0.02,0.019,0.01,0.008,0.527,0.038,0.026,0.022,0.017,0.07,0.005,0.2,0.063
19,Hyde Park,37974,0.478,0.012,0.01,0.007,0.018,0.046,0.029,0.033,0.029,0.032,0.119,0.024,0.033,0.016,0.008,0.005,0.004,0.522,0.021,0.033,0.035,0.018,0.091,0.005,0.21,0.058
20,Mattapan,26841,0.454,0.009,0.003,0.006,0.017,0.042,0.039,0.028,0.033,0.026,0.114,0.027,0.027,0.012,0.013,0.003,0.003,0.546,0.04,0.031,0.033,0.02,0.096,0.012,0.21,0.047
21,Dorchester,122532,0.473,0.013,0.006,0.007,0.025,0.055,0.045,0.033,0.026,0.028,0.118,0.031,0.025,0.014,0.009,0.005,0.004,0.527,0.031,0.031,0.033,0.019,0.097,0.014,0.215,0.054
22,South Boston Waterfront,6343,0.533,0.003,0.003,0.004,0.031,0.114,0.085,0.055,0.039,0.039,0.155,0.022,0.018,0.013,0.009,0.002,0.001,0.467,0.017,0.007,0.012,0.008,0.033,0.006,0.188,0.035
23,South Boston,36371,0.498,0.004,0.003,0.004,0.024,0.111,0.08,0.041,0.026,0.03,0.12,0.023,0.024,0.011,0.01,0.003,0.003,0.502,0.027,0.01,0.013,0.006,0.035,0.006,0.155,0.034
24,Allston,26649,0.491,0.049,0.028,0.025,0.06,0.131,0.063,0.029,0.012,0.016,0.068,0.011,0.009,0.005,0.003,0.004,0.002,0.509,0.004,0.005,0.008,0.007,0.079,0.059,0.147,0.115
25,Harbor Islands,98,0.837,0.0,0.0,0.0,0.0,0.112,0.071,0.051,0.112,0.01,0.439,0.265,0.153,0.051,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.439,0.051
