,term,weight
6567,album,0.0003439404833551797
4119,gun,0.00034350099076469734
2908,montreal,0.00033585045279641284
39,xa0the,0.0003356428820003774
5964,bullpen,0.0003356428820003774
6376,athletic,0.0003338792494859271
2526,ortiz,0.00032445701310738085
3753,infected,0.0003206011464093217
1773,remy,0.0003206011464093217
5647,coach,0.00031927169532789014
624,ticket,0.0003100307316655038
4595,fame,0.0003100307316655038
5644,coaching,0.0003096928663487724
1062,sport,0.0003093631622923808
1962,racial,0.0003059687080225614
3638,ireland,0.00030524517845003133
4064,harrington,0.00030524517845003133
6244,bats,0.00030524517845003133
3767,induction,0.0002986630391878358
2945,missile,0.0002986630391878358
2453,papi,0.0002986630391878358
5850,castillo,0.0002986630391878358
6231,beanpot,0.0002986630391878358
47,xa0it,0.0002986630391878358
3044,mekhi,0.0002986630391878358
5919,calories,0.0002986630391878358
6098,boehner,0.0002986630391878358
3083,mays,0.0002986630391878358
2427,participation,0.0002974189286817658
4302,games,0.0002971478246979179
3397,lawns,0.00029554283285214693
791,swift,0.00029554283285214693
4422,foley,0.00029554283285214693
3942,homer,0.00029554283285214693
5872,carlson,0.00029554283285214693
5756,chef,0.0002911653292163584
1587,ross,0.0002861822138450804
4714,evans,0.0002820378396951948
4462,fish,0.0002820378396951948
6253,bases,0.00027970240166698114
1739,republic,0.00027478673410615597
2978,military,0.0002718872126128654
2912,monster,0.0002709812580551758
4261,giants,0.0002709812580551758
2848,mvp,0.0002709812580551758
5653,club,0.0002695628204175054
6027,breadwinner,0.0002685865508103964
3473,klass,0.0002685865508103964
3852,ifill,0.0002685865508103964
3256,loria,0.0002685865508103964
2289,piff,0.0002685865508103964
4830,emigre,0.0002685865508103964
6069,borowiecki,0.0002685865508103964
4,zineb,0.0002685865508103964
2199,porcello,0.0002685865508103964
3384,leaguers,0.0002685865508103964
4100,halftime,0.0002685865508103964
5294,dakharrie,0.0002685865508103964
4472,fintan,0.0002685865508103964
3122,martínez,0.0002685865508103964
4113,gyllenhaal,0.0002685865508103964
2313,phifer,0.0002685865508103964
3,zobrist,0.0002685865508103964
3878,hurleys,0.0002685865508103964
6094,boggs,0.0002685865508103964
1485,schilling,0.0002685865508103964
153,whitaker,0.0002685865508103964
6623,aerostat,0.0002685865508103964
2967,minaj,0.0002685865508103964
2771,nevermind,0.0002685865508103964
4939,duhaime,0.0002685865508103964
4022,hebdo,0.0002685865508103964
6413,ascending,0.0002685865508103964
3571,jlens,0.0002685865508103964
5028,djakout,0.0002685865508103964
2919,monan,0.0002685865508103964
