,term,weight
7772,kornegay,0.00022607687637935786
6173,nichols,0.00022607687637935786
524,vulcans,0.00022547378173779127
6936,mecanoo,0.00022547378173779127
2956,sheard,0.00022547378173779127
6956,mcnulty,0.00022541313312868076
5621,overdose,0.00022541313312868076
3690,rev,0.00022422870184147294
7508,lewis,0.00022422870184147294
11081,drugs,0.00022422870184147294
4630,project,0.0002234137836726433
3973,relatives,0.0002177102628922274
11082,drug,0.00021724160952203535
11813,dearborn,0.00021602091924831905
7689,lara,0.00021531131083748367
8145,islam,0.0002150227005879362
15028,addicts,0.00021448500594055522
8111,jackson,0.00021387474253588032
11280,district,0.00021283102549867597
13765,blodgett,0.00021044219628860516
7203,mahmood,0.00021044219628860516
8031,jeune,0.00021044219628860516
8766,houben,0.00021044219628860516
7855,khudairi,0.00021044219628860516
3425,runci,0.00021044219628860516
3597,rights,0.0002099514183615354
14428,art,0.0002099514183615354
5291,people,0.00020928969151277907
5793,old,0.0002071599629256277
4642,program,0.00020695171540202744
4783,prescription,0.00020662870536795736
6819,methadone,0.00020662870536795736
39,young,0.00020558160171135648
3248,school,0.0002035444842947812
4458,purpura,0.0002005779804172589
5304,pena,0.0002005779804172589
11844,davey,0.00019848249285040265
9278,guerrero,0.00019723649148759568
3068,sentence,0.00019664152777362475
901,units,0.00019655026399803313
14282,attorney,0.00019636895722806012
4085,reed,0.00019633783465241862
9252,gunfire,0.00019620011411128883
13810,bittle,0.0001954106108394191
3547,roberson,0.0001954106108394191
9086,hasson,0.0001954106108394191
2611,smigielski,0.0001954106108394191
4814,preference,0.0001952028517465027
9336,griffiths,0.00019378017975373528
6921,mediation,0.00019378017975373528
454,warren,0.00019219603014983397
2869,shot,0.00019095864259381228
71,yancey,0.00019056319245675925
557,vocational,0.00019056319245675925
10055,fire,0.00018931378511208194
7162,man,0.00018924342559151935
3243,schools,0.00018924342559151935
5719,orchard,0.00018848682340230608
14058,bartlett,0.0001880418566411802
13252,campbell,0.00018478855026109986
12380,conley,0.0001841878622269242
14645,angel,0.00018303433430275485
9409,grady,0.00018301461421186112
11198,donoghue,0.00018301461421186112
736,vali,0.00018301461421186112
14439,arrested,0.0001823199355219841
3116,segregation,0.0001819872777677438
8146,isis,0.0001819422851128691
14043,basketball,0.00018152052869602499
13054,center,0.00018084504871615606
14728,alx,0.000180379025390233
6555,morte,0.000180379025390233
1148,trinh,0.000180379025390233
5939,nuestra,0.000180379025390233
14270,atwater,0.000180379025390233
10054,firearm,0.00017908424850812256
2742,sister,0.00017868205818003015
12820,city,0.0001775542611657433
59,year,0.0001775542611657433
2893,shootings,0.00017721050095830085
9841,former,0.0001763356834762681
8860,home,0.0001763356834762681
1341,tompkins,0.0001755057328651015
8020,jihadi,0.0001755057328651015
15031,addicted,0.00017548773213318155
9658,gang,0.00017487830550067863
1136,trooper,0.00017429059508369308
6542,mother,0.00017375516127905442
12691,cocaine,0.0001732392658697811
12147,could,0.00017244667184079278
5563,pa,0.00017224904866998693
407,weapon,0.00017206133680192166
1353,told,0.00017203481314757865
4706,prison,0.0001711574904900259
12997,chang,0.00017109979402870425
7930,justice,0.00016974795527102863
1925,suffolk,0.00016929708298469954
14120,baltimore,0.00016916440111064328
6471,mural,0.00016905984984651057
3096,selma,0.00016898818649861927
2564,sober,0.00016839158755853445
7613,leaders,0.00016745707400656892
12852,church,0.00016745707400656892
13455,brown,0.0001655762679740468
4349,rahim,0.00016540207737533556
1367,tobacco,0.00016540207737533556
9105,harrishof,0.00016534743994104693
13494,brison,0.00016534743994104693
27,yrs,0.00016534743994104693
10047,firefighters,0.00016416744241964985
13597,boyfriend,0.00016403820713759346
7633,lawsuit,0.0001634256433226534
8931,highland,0.00016296960908902285
4904,possession,0.0001619337336343094
1486,think,0.0001617127243587239
11035,dwire,0.00016148348312811274
14032,baton,0.00016148348312811274
5898,n•,0.00016142258485317906
31,youths,0.00016107021418642427
5822,offenses,0.00016107021418642427
8625,imam,0.00016107021418642427
4122,recovery,0.00015887838016951113
2009,students,0.00015844937704852062
1826,surveillance,0.00015801551338951987
179,work,0.00015788948525682976
