mapc_id,TransitScore,WalkScore,BikeScore
49208,,12.0,19.0
49317,,9.0,16.0
50347,,21.0,19.0
50381,,22.0,26.0
51835,,19.0,28.0
51942,,15.0,25.0
51962,,7.0,14.0
52025,,62.0,36.0
52088,,12.0,25.0
52094,,10.0,21.0
52107,,8.0,23.0
52161,,9.0,22.0
52217,,10.0,24.0
52270,,6.0,26.0
52271,,12.0,22.0
52366,,3.0,25.0
52474,,34.0,31.0
52639,,24.0,27.0
52657,,4.0,26.0
52675,,20.0,27.0
52737,,28.0,31.0
53253,,40.0,24.0
53479,,25.0,29.0
53485,,45.0,37.0
53499,,24.0,26.0
53512,,47.0,27.0
53587,,32.0,32.0
53633,,49.0,33.0
53779,,47.0,36.0
53793,,0.0,24.0
54168,,20.0,30.0
54192,,5.0,28.0
54266,,6.0,22.0
54353,,5.0,14.0
54373,,33.0,21.0
54376,,33.0,21.0
54379,,25.0,18.0
55637,,73.0,50.0
55659,,73.0,50.0
55682,,73.0,50.0
55883,,42.0,24.0
57283,,82.0,34.0
57451,,51.0,30.0
57473,,37.0,21.0
57492,,79.0,46.0
57493,,51.0,36.0
58595,,20.0,22.0
58733,,54.0,50.0
59003,,53.0,50.0
59358,,4.0,5.0
59792,,55.0,44.0
60164,,23.0,6.0
60274,,4.0,3.0
60561,,31.0,28.0
60653,,4.0,5.0
60950,,5.0,6.0
61341,,4.0,33.0
61584,,15.0,5.0
61800,,45.0,36.0
61802,,42.0,37.0
61918,,25.0,43.0
62132,,34.0,33.0
62446,,35.0,35.0
62626,,40.0,34.0
63424,,30.0,12.0
64734,,39.0,40.0
66347,,47.0,41.0
66356,,47.0,41.0
66383,,44.0,37.0
66455,,34.0,43.0
66748,,45.0,45.0
66780,,45.0,45.0
67214,,27.0,42.0
67578,,10.0,18.0
67801,,14.0,32.0
68097,,64.0,26.0
68140,,56.0,43.0
68266,,19.0,10.0
68281,,46.0,29.0
69926,,58.0,48.0
70970,,66.0,57.0
71049,,25.0,25.0
71050,,52.0,38.0
71333,,4.0,29.0
71723,,4.0,29.0
73557,,8.0,24.0
75842,,37.0,38.0
80237,,0.0,22.0
80283,,33.0,37.0
81123,,28.0,34.0
81125,,57.0,43.0
81377,,24.0,34.0
81437,,48.0,41.0
81670,,51.0,43.0
82495,,29.0,37.0
82509,,28.0,38.0
82516,,25.0,34.0
82519,,22.0,34.0
82526,,27.0,30.0
82528,,31.0,30.0
82530,,26.0,33.0
82539,,17.0,30.0
82540,,27.0,30.0
82547,,5.0,27.0
82548,,5.0,24.0
82552,,18.0,30.0
82555,,5.0,27.0
82558,,5.0,27.0
82567,,3.0,28.0
82571,,5.0,27.0
82583,,1.0,26.0
82596,,5.0,27.0
82626,,4.0,25.0
82641,,27.0,35.0
82645,,4.0,27.0
82828,,4.0,26.0
82924,,17.0,30.0
82963,,4.0,26.0
83514,,4.0,26.0
83522,,4.0,18.0
83566,,0.0,24.0
83622,,3.0,21.0
83624,,1.0,19.0
83625,,4.0,24.0
83651,,3.0,18.0
83658,,3.0,23.0
83670,,3.0,18.0
83714,,2.0,18.0
83793,,7.0,21.0
84038,,0.0,25.0
84053,,1.0,23.0
84171,,1.0,24.0
84172,,2.0,25.0
84285,,8.0,24.0
84649,,18.0,35.0
85003,,4.0,28.0
85755,,0.0,6.0
85774,,4.0,12.0
85780,,0.0,9.0
85781,,0.0,4.0
85783,,1.0,16.0
85784,,1.0,16.0
86551,,0.0,3.0
86552,,1.0,
86553,,2.0,10.0
86565,,4.0,17.0
86567,,1.0,16.0
86572,,3.0,21.0
86573,,4.0,16.0
86574,,8.0,11.0
86576,,2.0,8.0
86578,,0.0,7.0
86580,,0.0,19.0
86590,,0.0,7.0
87288,,0.0,22.0
87289,,0.0,18.0
87291,,0.0,9.0
87298,,1.0,19.0
87299,,2.0,18.0
87300,,0.0,13.0
87301,,0.0,20.0
87302,,0.0,20.0
87303,,2.0,21.0
87306,,0.0,12.0
87307,,0.0,11.0
87310,,0.0,8.0
87443,,7.0,21.0
87485,,1.0,21.0
87533,,2.0,23.0
87548,,2.0,16.0
87719,,1.0,11.0
87892,,0.0,17.0
