,term,weight
3654,one,0.00030308562321243536
1572,southie,0.0003023826981153746
7437,dan,0.0003022397232354327
47,year,0.00029274411900833655
9574,6th,0.0002916132253277317
7627,cornerback,0.0002916132253277317
124,wollaston,0.0002916132253277317
8797,bellflower,0.0002916132253277317
189,wide,0.00029067937084456964
4548,lowell,0.0002903984815203769
9472,adams,0.0002903984815203769
914,three,0.0002897864407133157
7402,davey,0.0002885666701339168
8707,bishop,0.0002885666701339168
5976,gays,0.0002885666701339168
326,walsh,0.000284902399577698
8943,backs,0.00028348377948316373
3368,people,0.00028327438586582543
3488,panthers,0.0002817301435831588
8534,brendan,0.0002817301435831588
7912,collins,0.0002817301435831588
4771,league,0.0002807465651516855
2406,restricted,0.0002767514248529836
52,yards,0.00027567979345774886
176,williams,0.0002754083551196446
8850,beach,0.0002753804565895923
4196,mike,0.0002753804565895923
7666,convention,0.0002753804565895923
6263,five,0.0002718782898827175
5849,graduation,0.00026865753176482906
8502,broadway,0.00026865753176482906
4432,marchers,0.00026865753176482906
3101,pounds,0.00026830051026023854
659,twenty,0.0002653662350352273
6370,fein,0.00026224667965094625
64,wuschke,0.00026224667965094625
2175,sachems,0.00026224667965094625
2812,rabchenuk,0.00026224667965094625
7266,denner,0.00026224667965094625
7283,dembowski,0.00026224667965094625
3561,outvets,0.00026224667965094625
4868,kumin,0.00026224667965094625
5543,hoey,0.00026224667965094625
7538,cremona,0.00026224667965094625
413,vikings,0.00026224667965094625
3463,parkolation,0.00026224667965094625
1036,te,0.00026224667965094625
1435,starting,0.00025977951909616744
7713,construction,0.00025881323974921006
6532,experience,0.0002576187845996052
4494,mahoney,0.00025546285371044644
4995,justin,0.00025546285371044644
446,vertex,0.00025516157216176524
17,zach,0.00025516157216176524
962,thames,0.00025516157216176524
5124,irish,0.0002542493777273731
4136,mob,0.00025042679429614117
154,winless,0.00025042679429614117
3272,pierre,0.00025042679429614117
7830,compete,0.00024875593365645323
6879,eagles,0.0002457901310233798
831,torres,0.0002457901310233798
5095,jake,0.0002456859422187419
7746,connell,0.00024047222511159734
5003,juniors,0.00024047222511159734
6011,game,0.00023933618306321957
2178,ryan,0.00023848934245354535
9020,attitude,0.00023848934245354535
3642,openly,0.00023507534029422545
7964,coaching,0.00023507534029422545
2285,roast,0.00023417428256790925
2064,sciences,0.00023417428256790925
6942,driscoll,0.00023417428256790925
1330,strength,0.00023285583712706007
2810,race,0.0002273070792091465
3466,parking,0.0002273070792091465
4724,lesbian,0.000226787023586531
1723,skilled,0.000226787023586531
680,tufts,0.00022462797985446203
867,title,0.00022462797985446203
9245,andrew,0.00022462797985446203
7826,competitive,0.00022462797985446203
4999,jury,0.00022183425669717157
2448,residential,0.00022121304527070705
9038,attack,0.0002208125912317423
5994,garsh,0.00021912344500912354
4325,mcgee,0.00021912344500912354
5673,hart,0.00021912344500912354
7438,damon,0.00021912344500912354
892,tigers,0.00021912344500912354
6694,enslaved,0.00021912344500912354
8768,berman,0.00021912344500912354
5305,indians,0.00021912344500912354
6571,excluded,0.00021912344500912354
466,vaughan,0.0002187099189957988
6910,duffy,0.0002187099189957988
1068,tar,0.0002187099189957988
1945,sepulveda,0.0002187099189957988
4664,limerick,0.0002187099189957988
8351,campatelli,0.0002187099189957988
3089,ppg,0.0002187099189957988
7389,dcr,0.0002187099189957988
617,underclassmen,0.0002187099189957988
6915,dubzinski,0.0002185388997091219
1776,sigsbury,0.0002185388997091219
7390,dcl,0.0002185388997091219
3965,nault,0.0002185388997091219
9337,alberta,0.0002185388997091219
3656,olson,0.0002185388997091219
4947,kenyon,0.0002185388997091219
1063,tarpey,0.0002185388997091219
4727,lenz,0.0002185388997091219
4507,mackay,0.0002185388997091219
1629,soiles,0.0002185388997091219
3484,pappagallo,0.0002185388997091219
1103,tailback,0.0002185388997091219
6245,flatbed,0.0002185388997091219
6244,flatley,0.0002185388997091219
9332,alemany,0.0002185388997091219
3590,ormberg,0.0002185388997091219
5805,greeters,0.0002185388997091219
5806,greeter,0.0002185388997091219
1049,tavano,0.0002185388997091219
3669,offseason,0.00021848011646522652
107,workers,0.0002149465889442592
7632,core,0.0002141847995696829
6321,film,0.00021321937170553132
5125,ireland,0.0002111988956511832
4596,logan,0.0002111988956511832
7769,confident,0.00020957025341435405
9535,accepted,0.00020867817464685222
8732,bill,0.00020856438809794845
3273,pier,0.00020788810495432007
9257,anchor,0.00020788810495432007
3675,officer,0.0002055633266731953
1039,taylor,0.00020420725441314732
5779,groups,0.0002001537654449533
3676,office,0.0002000922598831885
3799,north,0.00019861767284845233
7667,controversy,0.00019799896467298427
1835,shore,0.00019792746155800102
4434,march,0.00019488803478005023
1440,stars,0.00019377259074350561
7795,concern,0.00019377259074350561
1708,slave,0.00019237778008927785
6357,ferries,0.00019237778008927785
3335,perry,0.00019237778008927785
3592,orlando,0.00019159714028283483
420,vietnam,0.00019159714028283483
783,trafficking,0.00019159714028283483
5048,joe,0.00019123642818721687
1773,silva,0.00019117010190707322
7242,derek,0.00019117010190707322
1688,slot,0.00019117010190707322
1108,tackles,0.00019117010190707322
8867,bates,0.00019117010190707322
8571,boycott,0.00019117010190707322
1920,seven,0.00019047760428908954
6109,four,0.00019047760428908954
1446,star,0.00018933464298846937
5016,joyce,0.00018898918632210917
1740,six,0.00018884959057721695
3848,nine,0.00018884959057721695
5470,hotel,0.0001886265984612887
3806,noonan,0.0001878200957221059
179,wildcats,0.0001878200957221059
4892,knights,0.0001878200957221059
6007,gangster,0.0001878200957221059
6063,fries,0.0001878200957221059
5503,hooley,0.0001878200957221059
3915,negotiated,0.0001878200957221059
5872,gormley,0.0001878200957221059
8446,bulldogs,0.0001878200957221059
6447,falcons,0.0001878200957221059
6295,finish,0.0001865669502423399
9175,application,0.00018628466970164803
2492,replacing,0.00018628466970164803
3161,politicians,0.00018628466970164803
7399,davis,0.00018628466970164803
4430,marching,0.0001847990336947853
6359,ferguson,0.00018470205308831998
6292,finishing,0.00018470205308831998
4778,lead,0.0001842399333807936
5351,improve,0.00018392508176022737
1029,teams,0.00018378652897183258
4536,luke,0.00018225826582983235
7725,consolidating,0.00018225826582983235
1653,snaps,0.00018225826582983235
8370,cam,0.00018225826582983235
6970,dracut,0.00018225826582983235
4037,muncey,0.00018225826582983235
4320,mcgrath,0.00018225826582983235
2088,scanlon,0.00018225826582983235
4859,lack,0.0001818456633673172
3216,play,0.00018121168146215195
1428,state,0.00018070952201785416
8454,building,0.00018008303389486965
7602,could,0.0001790815083059816
2889,public,0.0001790815083059816
3172,poised,0.00017886700684015903
2908,prove,0.00017886700684015903
3643,opening,0.00017768280975460945
4343,mayor,0.00017745349459410905
6536,expects,0.00017593751393223952
3415,patrick,0.00017508072739778996
6135,former,0.00017508072739778996
888,tildsley,0.0001748311197672975
3265,pileski,0.0001748311197672975
4659,linchpin,0.0001748311197672975
3208,playmakers,0.0001748311197672975
3257,pindel,0.0001748311197672975
7954,cobban,0.0001748311197672975
3252,pinotage,0.0001748311197672975
2736,raynham,0.0001748311197672975
8697,blacklisted,0.0001748311197672975
2748,rat,0.0001748311197672975
8629,bonding,0.0001748311197672975
4075,mortarelli,0.0001748311197672975
4370,masterson,0.0001748311197672975
9128,aromas,0.0001748311197672975
2794,rafferty,0.0001748311197672975
2884,pugh,0.0001748311197672975
1595,soonest,0.0001748311197672975
1060,taskforce,0.0001748311197672975
4011,mvc,0.0001748311197672975
4653,linebacking,0.0001748311197672975
3982,nascimento,0.0001748311197672975
3950,ncampatelli,0.0001748311197672975
3930,nec,0.0001748311197672975
8327,caollaí,0.0001748311197672975
8599,bottlenecks,0.0001748311197672975
3662,olb,0.0001748311197672975
4780,lbs,0.0001748311197672975
4492,maimaron,0.0001748311197672975
3241,pittman,0.0001748311197672975
7233,deschene,0.0001748311197672975
7042,div,0.0001748311197672975
7137,digest,0.0001748311197672975
7173,devils,0.0001748311197672975
2277,robichaud,0.0001748311197672975
5283,inflatable,0.0001748311197672975
6014,gallagher,0.0001748311197672975
5296,indochine,0.0001748311197672975
9469,adatia,0.0001748311197672975
6236,flemmi,0.0001748311197672975
5925,gillooly,0.0001748311197672975
5532,holey,0.0001748311197672975
7368,debrito,0.0001748311197672975
2149,salivated,0.0001748311197672975
7403,davenport,0.0001748311197672975
5754,gulla,0.0001748311197672975
8,zeroing,0.0001748311197672975
357,vsa,0.0001748311197672975
6103,fraccalossi,0.0001748311197672975
4904,kingman,0.0001748311197672975
9417,afanasiw,0.0001748311197672975
7758,conga,0.0001748311197672975
1756,sinn,0.0001748311197672975
4993,kadis,0.0001748311197672975
7910,colombo,0.0001748311197672975
1115,szakmary,0.0001748311197672975
7031,dmu,0.0001748311197672975
4184,million,0.0001743735048032028
3452,participate,0.0001735761662511752
575,union,0.00017310595930374338
4481,make,0.00017256945345849137
3913,negotiations,0.00017159910271658633
5349,improvement,0.00017159910271658633
